source,source.label,sample,chemistry,injury,injury.days,injury.agent,age,age.months,is.FACS,is.whole.muscle,material,type,tissue,mouse.strain,sex,mice.per.sample,SRR.accession,Sequencing.Instrument,Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes,Sequencing.Saturation,Q30.Bases.in.Barcode,Q30.Bases.in.RNA.Read,Q30.Bases.in.UMI,Reads.Mapped.to.Genome,Reads.Mapped.Confidently.to.Genome,Reads.Mapped.Confidently.to.Intergenic.Regions,Reads.Mapped.Confidently.to.Intronic.Regions,Reads.Mapped.Confidently.to.Exonic.Regions,Reads.Mapped.Confidently.to.Transcriptome,Reads.Mapped.Antisense.to.Gene,Fraction.Reads.in.Cells,Total.Genes.Detected,Median.UMI.Counts.per.Cell,soupx.rho
"Kimmel et al, Development, 2020",Kimmel 2020,Y2_LRC_Q,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874108, SRR10874109",NovaSeq 6000,2178,112934,2365,245971113,97.7,85.1,96.1,89.9,96.1,90.8,84.6,3.4,8.1,73.1,70.4,0.8,83.1,15923,7913,0.287
"Kimmel et al, Development, 2020",Kimmel 2020,Y2_LRC_A,10x Genomics v2,18hrs Culture,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874110, SRR10874111",NovaSeq 6000,2246,106774,2322,239816173,97.6,84.5,96,89.7,95.9,90.6,84.4,3.4,8.1,72.8,70.2,0.8,82.9,15947,7681,0.145
"Kimmel et al, Development, 2020",Kimmel 2020,Y1_nonLRC_Q,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874112, SRR10874113",NovaSeq 6000,1520,53621,1050,81504749,92.8,85.8,95.9,88.2,95.9,87.1,81.8,4.9,19.1,57.8,54.9,1.3,92.6,14001,2892,NA
"Kimmel et al, Development, 2020",Kimmel 2020,Y1_nonLRC_A,10x Genomics v2,18hrs Culture,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874114, SRR10874115",NovaSeq 6000,1517,52356,1051,79425266,91.8,84.9,95.8,87.8,95.7,86.5,80.9,5,19,57,54.2,1.3,92.1,14008,2891,NA
"Kimmel et al, Development, 2020",Kimmel 2020,Y2_nonLRC_Q,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874116, SRR10874117",NovaSeq 6000,1607,187908,2973,301969417,97.8,89,96.1,91.2,96.2,91.6,85.6,2.7,7.3,75.6,73,0.8,93.3,15325,10934,NA
"Kimmel et al, Development, 2020",Kimmel 2020,Y2_nonLRC_A,10x Genomics v2,18hrs Culture,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874118, SRR10874119",NovaSeq 6000,1525,6393,1299,9750795,97.8,24.3,95.8,90.1,95.8,91.4,85.4,2.7,7.3,75.5,72.9,0.8,92.9,12961,2859,NA
"Kimmel et al, Development, 2020",Kimmel 2020,A1_LRC_Q,10x Genomics v2,D0,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874120, SRR10874121",NovaSeq 6000,2245,34466,NA,77377830,93,80.6,96.1,88.8,96,87.7,82.2,5.3,18.3,58.5,55.7,1.3,89.1,14964,2592,NA
"Kimmel et al, Development, 2020",Kimmel 2020,A1_LRC_A,10x Genomics v2,18hrs Culture,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874122, SRR10874123",NovaSeq 6000,2244,33639,NA,75486616,92.1,79.6,95.9,88.4,95.8,87.2,81.4,5.3,18.2,57.8,55,1.3,88.6,15019,2577,NA
"Kimmel et al, Development, 2020",Kimmel 2020,A2_LRC_Q,10x Genomics v2,D0,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874124, SRR10874125",NovaSeq 6000,2501,109282,1885,273316735,97.7,87.2,96.1,91.2,96.1,91.7,85.6,3.5,7.2,74.9,72.2,0.8,65,15792,5469,0.244
"Kimmel et al, Development, 2020",Kimmel 2020,A2_LRC_A,10x Genomics v2,18hrs Culture,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874126, SRR10874127",NovaSeq 6000,2575,102716,1844,264495614,97.7,86.6,96,90.9,95.9,91.6,85.4,3.5,7.2,74.7,72.1,0.8,64.9,15808,5286,0.223
"Kimmel et al, Development, 2020",Kimmel 2020,A1_nonLRC_Q,10x Genomics v2,D0,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874128, SRR10874129",NovaSeq 6000,1527,59568,1113,90961433,92.8,85.7,96.1,88.7,96.1,87.4,82.2,4.9,19.3,57.9,55.1,1.3,91.2,14357,3116,NA
"Kimmel et al, Development, 2020",Kimmel 2020,A1_nonLRC_A,10x Genomics v2,18hrs Culture,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874130, SRR10874131",NovaSeq 6000,1529,58108,1111,88848081,91.9,84.8,96,88.3,95.9,86.9,81.4,5,19.2,57.2,54.5,1.3,90.7,14370,3109,NA
"Kimmel et al, Development, 2020",Kimmel 2020,A2_nonLRC_Q,10x Genomics v2,D0,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874132, SRR10874133",NovaSeq 6000,2181,126524,2359,275950507,97.9,86.9,96.2,91.2,96.1,91.9,85.5,3,6.9,75.6,72.9,0.7,70.1,15606,7535,0.026
"Kimmel et al, Development, 2020",Kimmel 2020,A2_nonLRC_A,10x Genomics v2,18hrs Culture,0,NA,20mo,20,TRUE,FALSE,cells,FACS (MuSCs),Hindlimb Muscles,C57Bl/6; H2B-GFP +/-; rtTA +/-,M,0.5,"SRR10874134, SRR10874135",NovaSeq 6000,2290,117071,2289,268093181,97.8,86.3,96,91,95.9,91.8,85.4,3.1,6.9,75.4,72.8,0.7,70,15589,7233,0.023
"Verma & Asakura, unpublished, 2019",Verma 2019,NoInjury,10x Genomics v2,D0,0,NA,2mo,2,TRUE,FALSE,cells,FACS (MuSCs/Endo),Hindlimb Muscles,Pax7tdT:Flk1GFP,M,1,SRR8832578,HiSeq 2500,1027,256140,1168,263056727,97.9,95.1,96,78.4,96.9,92.2,87.2,4.6,17.6,65,62.5,1.2,88.3,15675,3258,0.059
"Verma & Asakura, unpublished, 2019",Verma 2019,3dCTX,10x Genomics v2,D3,3,cardiotoxin,2mo,2,TRUE,FALSE,cells,FACS (MuSCs/Endo),Hindlimb Muscles,Pax7tdT:Flk1GFP,M,1,SRR8832579,HiSeq 2500,1362,176564,2051,240480350,96.5,82.3,96,83.7,96.9,92.7,86.1,3.6,7.4,75,71.9,1.2,63.7,17398,5722,0.156
"Stepien et al, J Immunol, 2020",Stepien 2020,D0_IR1,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,4,SRR11007782,HiSeq 4000,1593,146415,1389,233240289,98.3,92.1,97.9,83.3,98.1,92.8,88.1,2.2,8.5,77.3,74.7,0.8,51.9,16122,3042,0.063
"Stepien et al, J Immunol, 2020",Stepien 2020,D0_IR2,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,4,SRR11007783,HiSeq 4000,1901,116432,1359,221337613,98.3,90.8,97.9,82.4,98.1,92.4,87.7,2.4,9.2,76,73.4,0.8,55.4,16364,2966,0.064
"Stepien et al, J Immunol, 2020",Stepien 2020,D3_IR1,10x Genomics v2,D3,3,cardiotoxin,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,2,SRR10969329,HiSeq 4000,3452,62591,2942,216066518,98.3,63.3,97.7,76.3,97.9,91.2,87.4,2.2,6.6,78.6,75.7,0.9,93.4,17839,13829,0.019
"Stepien et al, J Immunol, 2020",Stepien 2020,D3_IR2,10x Genomics v2,D3,3,cardiotoxin,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,2,SRR10969330,HiSeq 4000,1907,95945,2960,182967616,98.3,73.7,97.8,78.1,98,91.6,87.2,2.5,6.9,77.8,75,0.8,93.8,17367,14174,0.014
"Stepien et al, J Immunol, 2020",Stepien 2020,D3_IR3,10x Genomics v2,D3,3,cardiotoxin,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,2,SRR10969331,HiSeq 4000,3067,66693,2734,204547874,98.3,68.4,97.7,78,97.9,91.5,87.3,2.5,7.1,77.7,74.8,0.8,94.7,17674,12147,0.016
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D0_5,10x Genomics v3,D0.5,0.5,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275413,NovaSeq 6000,5812,50984,2747,296321876,97.9,66.5,95.2,91.1,94.4,96.2,94,4.4,22.7,66.9,63.1,1.2,90,19045,9256,0.014
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D2,10x Genomics v3,D2,2,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275414,NovaSeq 6000,3608,92346,2256,333185326,96.8,71.9,95.2,90.5,94.4,94.1,91.3,6.6,29,55.8,51.1,2,88.2,17639,8508,0.009
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D3_5,10x Genomics v3,D3.5,3.5,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275415,NovaSeq 6000,8925,33081,2463,295253495,97.7,38.9,95.3,91.1,94.4,94.6,91.4,5.2,21.1,65.2,61.2,1.1,97.4,18861,8533,0.008
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D5,10x Genomics v3,D5,5,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275416,NovaSeq 6000,11400,23846,2138,271849553,97.1,34.3,95.2,91.1,94.4,95.7,92.9,4.3,25.1,63.5,59.9,1.2,92.6,19413,6974,0.024
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D10,10x Genomics v3,D10,10,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275417,NovaSeq 6000,9695,29791,2482,288831077,97.6,32.8,95.2,91.4,94.3,94.8,91.5,5.3,24.2,62,58.2,1.2,96.5,19711,8696,0.017
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D21,10x Genomics v3,D21,21,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275418,NovaSeq 6000,6542,45019,2544,294517873,97.7,54.9,95.3,90.9,94.5,95.5,93.3,5.1,31,57.2,53.7,1.3,92.4,19650,9068,0.016
"Oprescu et al, iScience, 2020",Oprescu 2020,oprescu_D0,10x Genomics v3,D0,0,cardiotoxin,3mo,3,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C5Bl6/N,M,3,SRR10275419,NovaSeq 6000,9695,30435,1826,295070709,97.5,59.8,95.3,90.8,94.5,95.4,93.2,5.8,32.4,55,51.1,1.6,91.5,19602,5019,0.013
"Kalucka et al, Cell, 2020",Kalucka 2020,kalucka_edl,10x Genomics v2,D0,0,NA,2mo,2,TRUE,FALSE,cells,FACS (Endo.),EDL,C57BL6/J,M,8,NA,HiSeq 4000,1280,210280,1043,269159432,97.2,97.7,98.4,88.6,98.7,94.8,90.1,4,16.7,69.5,66.6,1.1,86.7,13441,1922,NA
"Kalucka et al, Cell, 2020",Kalucka 2020,kalucka_soleus,10x Genomics v2,D0,0,NA,2mo,2,TRUE,FALSE,cells,FACS (Endo.),Soleus,C57BL6/J,M,8,NA,HiSeq 4000,2564,105245,1336,269848594,97.1,94.5,98.4,87.6,98.6,95,90.6,4,17.9,68.7,65.9,1.1,88.4,14790,2621,NA
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_TA_24mo,10x Genomics v3,D0,0,NA,24mo,24,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Tibialis Anterior,C57BL/6,M,1,"SRR11336245, SRR11336246",NovaSeq 6000,9562,45406,663,434172871,96.1,67.3,96.3,93.9,96,85.6,83.1,8.1,49.3,25.7,23.9,0.8,60.5,17791,1520,0.055
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_TA_5mo,10x Genomics v3,D0,0,NA,5mo,5,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Tibialis Anterior,C57BL/6,M,1,"SRR11336247, SRR11336248",NovaSeq 6000,8197,51148,677,419264392,95.9,74.5,96,93.1,95.7,82,78.9,7.7,41.5,29.7,28,0.6,69.2,16949,1438,0.228
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_soleus_5mo,10x Genomics v3,D0,0,NA,5mo,5,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Soleus,C57BL/6,M,4,"SRR11336255, SRR11336256",NovaSeq 6000,4314,82616,768,356409209,95.9,78.6,94.3,92.3,94.1,88.4,85.9,9.3,49.7,26.9,25.1,0.8,58.9,17950,1538,0.193
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_TA_P21,10x Genomics v3,D0,0,NA,0.75mo,0.75,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Tibialis Anterior,C57BL/6,M,4,"SRR11336253, SRR11336254",NovaSeq 6000,9567,45279,614,433191955,96.7,71.7,96.3,93.5,96.1,87.4,84.8,7.3,49,28.5,26.8,0.7,62.6,17881,1443,0.055
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_TA_P10,10x Genomics v3,D0,0,NA,0.3mo,0.3,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Tibialis Anterior,C57BL/6,M,2,"SRR11336251, SRR11336252",NovaSeq 6000,8617,117651,986,1013802046,96.2,77.6,96.2,92.7,96,84.5,82.2,7.9,48.5,25.8,24.1,0.8,63.1,19376,2061,0.361
"Petrany et al, bioRxiv, 2020",Petrany 2020,WT_TA_30mo,10x Genomics v3,D0,0,NA,30mo,30,TRUE,TRUE,nuclei,Nuclei (Whole Muscle),Tibialis Anterior,C57BL/6,M,1,"SRR11336249, SRR11336250",NovaSeq 6000,7544,62879,682,474364363,95.4,68.2,95.6,94.3,94.7,85.7,82.7,7.7,47.7,27.2,25.5,0.7,51.1,17386,1489,0.34
